"Numero partida municipal";tributo;numero_de_recibo;estado;periodo;fecha_emision;"Fecha 1er vencimiento";"Fecha 2do vencimiento";"interes resarcitorio";referencia;calle;altura;piso;dpto;localidad;"nro convenio origen";"descripcion convenio origen";"nombre del tipo de convenio origen";"fecha convenio origen";"nro convenio destino";"descripcion convenio destino";"nombre del tipo de convenio destino";"fecha convenio destino";"nro titulo ejecutorio";"fecha titulo ejecutorio";NORANUL;TIPOANUL;FECHANUL;Samco;samco
"147936/0002-9   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;"11 - 9 DE JULIO";1127;;;;;;;;;;;;;;;;;Samco;1.00
"147936/0003-8   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147936/0003-8   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147936/0003-8   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147936/0004-7   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;"62 - GUEMES";1384;;;;;;;;;;;;;;;;;Samco;1.00
"147936/0004-7   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;"62 - GUEMES";1384;;;;;;;;;;;;;;;;;Samco;1.00
"147936/0004-7   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;"62 - GUEMES";1384;;;;;;;;;;;;;;;;;Samco;1.00
"147936/0005-6   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147936/0005-6   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147936/0005-6   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147937/0002-8  ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;"37 - ITALIA";1651;;;;;;;;;;;;;;;;;Samco;1.00
