"Numero partida municipal";tributo;"numero de recibo";estado;periodo;fecha_emision;"Fecha 1er vencimiento";"Fecha 2do vencimiento";"interes resarcitorio";referencia;calle;altura;piso;dpto;localidad;"nro convenio origen";"descripcion convenio origen";"nombre del tipo de convenio origen";"fecha convenio origen";"nro convenio destino";"descripcion convenio destino";"nombre del tipo de convenio destino";"fecha convenio destino";"nro titulo ejecutorio";"fecha titulo ejecutorio";NROANUL;TIPOANUL;FECHANUL;tasa;tasa
258;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
260;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;1.90;;"24 - SARMIENTO";1580;;;;;;;;;;;;;;;;;tasa;20.00
264;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
271;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;1.60;;;;;;;;;;;;;;;;;;;;tasa;20.00
275;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;"52 - ALBERDI";1654;;;;;;;;;;;;;;;;;tasa;20.00
276;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
280;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
281;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
285;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
286;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
288;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
294;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;6.40;;;1430;;;;;;;;;;;;;;;;;tasa;20.00
298;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
300;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
308;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
309;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
312;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;1552;;;;;;;;;;;;;;;;;tasa;20.00
