"Numero partida municipal";tributo;numero_de_recibo;estado;periodo;fecha_emision;"Fecha 1er vencimiento";"Fecha 2do vencimiento";"interes resarcitorio";referencia;calle;altura;piso;dpto;localidad;"nro convenio origen";"descripcion convenio origen";"nombre del tipo de convenio origen";"fecha convenio origen";"nro convenio destino";"descripcion convenio destino";"nombre del tipo de convenio destino";"fecha convenio destino";"nro titulo ejecutorio";"fecha titulo ejecutorio";NORANUL;TIPOANUL;FECHANUL;tasa;tasa
87;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;86.92;;;;;;;;;;;;;convenio;;;;;;;tasa;36.59
88;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;;;;;;;;;;;convenio;;;;;;;tasa;102.74
90;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;75.68;;;;;;;;;;;;;convenio;;;;;;;tasa;26.79
91;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;"44 - JUAN DE GARAY";1710;;;;;;;;;;convenio;;;;;;;tasa;20.00
92;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;18.54;;;;;;;;;;;;;convenio;;;;;;;tasa;26.79
93;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
95;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
96;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;"31 - FALUCHO";;;;;;;;;;;convenio;;;;;;;tasa;20.00
97;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;"31 - FALUCHO";;;;;;;;;;;convenio;;;;;;;tasa;20.00
98;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;"31 - FALUCHO";;;;;;;;;;;convenio;;;;;;;tasa;20.00
99;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;35.17;;;515;;;;;;;;;;convenio;;;;;;;tasa;20.00
101;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;413.38;;;;;;;;;;;;;convenio;;;;;;;tasa;146.36
102;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;;;;;;;;;;;convenio;;;;;;;tasa;36.59
103;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;206.76;;;;;;;;;;;;;convenio;;;;;;;tasa;73.21
104;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;206.76;;;;;;;;;;;;;convenio;;;;;;;tasa;73.21
105;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;206.76;;;730;;;;;;;;;;convenio;;;;;;;tasa;73.21
106;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;187.39;;;;;;;;;;;;;convenio;;;;;;;tasa;66.35
107;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;205.21;;;;;;;;;;;;;convenio;;;;;;;tasa;72.65
108;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;85.18;;;936;;;;;;;;;;convenio;;;;;;;tasa;51.75
109;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;768.39;;"24 - SARMIENTO";2326;;;;;;;;;;convenio;;;;;;;tasa;272.05
110;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;381.28;;;144;;;;;;;;;;convenio;;;;;;;tasa;134.99
112;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;71.40;;"24 - SARMIENTO";2326;;;;;;;;;;convenio;;;;;;;tasa;25.28
113;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;71.40;;;367;;;;;;;;;;convenio;;;;;;;tasa;25.28
114;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;"1 - SAN MARTIN ";1152;;;;;;;;;;convenio;;;;;;;tasa;25.07
115;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;;;;;;;;;;;convenio;;;;;;;tasa;25.07
116;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;41.90;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
117;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;;;;;;;;;;;convenio;;;;;;;tasa;25.07
118;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;;;;;;;;;;;convenio;;;;;;;tasa;25.07
119;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;212.40;;;;;;;;;;;;;convenio;;;;;;;tasa;75.20
120;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;585;;;;;;;;;;convenio;;;;;;;tasa;58.52
121;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;4399;;;;;;;;;;convenio;;;;;;;tasa;50.00
122;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;1227.15;;"5 - PRESIDENTE ROCA";1441;;;;;;;;;;convenio;;;;;;;tasa;434.48
123;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;"39 - GRAL. LOPEZ ";1337;;;;;;;;;;convenio;;;;;;;tasa;128.91
124;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;"39 - GRAL. LOPEZ ";1337;;;;;;;;;;convenio;;;;;;;tasa;203.51
125;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;4527.29;;;360;;;;;;;;;;convenio;;;;;;;tasa;1602.89
126;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;7.54;;;1800;;;;;;;;;;convenio;;;;;;;tasa;100.79
127;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;1681.09;;;360;;;;;;;;;;convenio;;;;;;;tasa;595.19
128;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;1068.94;;;360;;;;;;;;;;convenio;;;;;;;tasa;378.46
130;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;415.58;;;;;;;;;;;;;convenio;;;;;;;tasa;147.14
131;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;578.36;;;781;;;;;;;;;;convenio;;;;;;;tasa;204.77
132;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;651.25;;;360;;;;;;;;;;convenio;;;;;;;tasa;230.57
133;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;257.80;;;569;;;;;;;;;;convenio;;;;;;;tasa;91.28
134;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;104.34;;;;;;;;;;;;;convenio;;;;;;;tasa;68.02
135;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;91.19;;;;;;;;;;;;;convenio;;;;;;;tasa;32.29
136;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;241.41;;;;;;;;;;;;;convenio;;;;;;;tasa;85.47
138;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;200.80;;;138;;;;;;;;;;convenio;;;;;;;tasa;71.09
139;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;;138;;;;;;;;;;convenio;;;;;;;tasa;20.00
140;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;;138;;;;;;;;;;convenio;;;;;;;tasa;20.00
141;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;84.73;;;138;;;;;;;;;;convenio;;;;;;;tasa;30.00
142;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;84.73;;;138;;;;;;;;;;convenio;;;;;;;tasa;30.00
143;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;;138;;;;;;;;;;convenio;;;;;;;tasa;20.00
144;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;"11 - 9 DE JULIO";1732;;;;;;;;;;convenio;;;;;;;tasa;136.13
145;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;114.38;;"58 - BELGRANO";1727;;;;;;;;;;convenio;;;;;;;tasa;40.50
147;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;114.38;;"58 - BELGRANO";1727;;;;;;;;;;convenio;;;;;;;tasa;40.50
148;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;114.38;;"58 - BELGRANO";1727;;;;;;;;;;convenio;;;;;;;tasa;40.50
150;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;2861;;;;;;;;;;convenio;;;;;;;tasa;134.55
151;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;"1 - SAN MARTIN ";1152;;;;;;;;;;convenio;;;;;;;tasa;135.23
152;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;171.53;;;2861;;;;;;;;;;convenio;;;;;;;tasa;60.73
153;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;199.02;;;3401;;;;;;;;;;convenio;;;;;;;tasa;70.46
154;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;613.36;;;360;;;;;;;;;;convenio;;;;;;;tasa;217.16
155;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;84.75;;;360;;;;;;;;;;convenio;;;;;;;tasa;30.01
156;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;106.86;;;93;;;;;;;;;;convenio;;;;;;;tasa;37.83
157;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;839.82;;;;;;;;;;;;;convenio;;;;;;;tasa;297.34
159;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;;;;;;;;;;;convenio;;;;;;;tasa;254.00
160;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;92.80;;;367;;;;;;;;;;convenio;;;;;;;tasa;32.86
161;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;172.77;;;;;;;;;;;;;convenio;;;;;;;tasa;61.17
162;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
163;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;"68 - ALMIRANTE BROWN";2369;;;;;;;;;;convenio;;;;;;;tasa;20.00
164;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;12.72;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
165;02;1;C;201007;2010-08-31;2010-09-10;2010-09-10;436.41;;"26 - RIVADAVIA ";1985;;;;;;;;1383;;convenio;2011-03-10;;;;;;tasa;154.51
168;02;1;C;201007;2010-08-31;2010-09-10;2010-09-10;102.17;;;;;;;;;;;1380;;convenio;2011-03-10;;;;;;tasa;36.17
169;02;1;C;201007;2010-08-31;2010-09-10;2010-09-10;70.96;;"1 - SAN MARTIN ";1580;;;;;;;;1382;;convenio;2011-03-10;237;2011-03-02;;;;tasa;25.12
170;02;1;C;201007;2010-08-31;2010-09-10;2010-09-10;88.70;;"1 - SAN MARTIN ";1580;;;;;;;;1378;;convenio;2011-03-10;;;;;;tasa;31.41
171;02;1;C;201007;2010-08-31;2010-09-10;2010-09-10;88.55;;"1 - SAN MARTIN ";1580;;;;;;;;1377;;convenio;2011-03-10;;;;;;tasa;31.35
172;02;1;C;201007;2010-08-31;2010-09-10;2010-09-10;89.77;;"1 - SAN MARTIN ";1580;;;;;;;;1379;;convenio;2011-03-10;;;;;;tasa;31.78
173;02;1;C;201007;2010-08-31;2010-09-10;2010-09-10;89.77;;"1 - SAN MARTIN ";1580;;;;;;;;1381;;convenio;2011-03-10;;;;;;tasa;31.78
174;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;717;;;;;;;;;;convenio;;;;;;;tasa;25.13
175;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;717;;;;;;;;;;convenio;;;;;;;tasa;50.27
176;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;717;;;;;;;;;;convenio;;;;;;;tasa;20.00
177;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;"1 - SAN MARTIN ";557;;;;;;;;;;convenio;;;;;;;tasa;38.53
178;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;717;;;;;;;;;;convenio;;;;;;;tasa;20.00
179;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;717;;;;;;;;;;convenio;;;;;;;tasa;20.00
180;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;717;;;;;;;;;;convenio;;;;;;;tasa;20.00
